,country,company,total_pack_size_ml_g,unit_pack_size_ml_g,price_per_100g_ml_dollars,ingredients
2301,Brazil,Brand 5,60.0,60.0,7.12,39
2302,China,Brand 613,135.0,135.0,4.5,7
2303,Switzerland,Brand 5,75.0,75.0,5.76,26
2304,Switzerland,Brand 584,75.0,75.0,10.19,27
2305,Vietnam,Brand 223,50.0,50.0,1.46,17
2306,India,Brand 0,50.0,50.0,0.62,23
2307,Ireland,Brand 21,75.0,75.0,9.04,25
2308,Belgium,Brand 0,75.0,75.0,5.33,30
2309,China,Brand 614,65.0,65.0,2.37,17
2310,China,Brand 294,110.0,110.0,2.3,22
2311,China,Brand 615,105.0,105.0,0.73,2
2312,USA,Brand 0,113.4,113.4,1.76,44
2313,Austria,Brand 1,75.0,75.0,4.44,26
2314,Hungary,Brand 0,75.0,75.0,3.04,25
2315,Ireland,Brand 0,100.0,100.0,3.55,28
2316,Ireland,Brand 0,75.0,75.0,5.33,31
2317,Spain,Brand 616,75.0,75.0,1.43,20
2318,Belgium,Brand 0,75.0,75.0,5.33,29
2319,Spain,Brand 42,75.0,75.0,7.93,25
2320,Spain,Brand 27,100.0,100.0,9.57,23
2321,France,Brand 617,12.0,12.0,41.83,26
2322,New Zealand,Brand 0,50.0,50.0,9.0,20
2323,Colombia,Brand 337,75.0,75.0,4.6,28
2324,Spain,Brand 618,125.0,125.0,4.12,36
2325,China,Brand 619,110.0,110.0,0.87,15
2326,Denmark,Brand 83,75.0,75.0,4.79,17
2327,South Korea,Brand 1,960.0,160.0,0.38,3
2328,UK,Brand 404,75.0,75.0,0.36,20
2329,Italy,Brand 7,75.0,75.0,8.75,23
2330,Australia,Brand 0,45.0,45.0,4.49,16
2331,India,Brand 68,150.0,150.0,0.82,20
2332,Singapore,Brand 620,135.0,135.0,1.16,21
2333,Singapore,Brand 9,120.0,120.0,3.68,22
2334,India,Brand 0,80.0,80.0,3.03,22
2335,Japan,Brand 31,70.0,70.0,2.93,34
2336,Spain,Brand 24,75.0,75.0,3.63,36
2337,Thailand,Brand 621,160.0,160.0,3.59,37
2338,India,Brand 622,100.0,100.0,1.49,17
2339,Germany,Brand 7,150.0,75.0,3.93,16
2340,Germany,Brand 7,150.0,75.0,3.93,26
2341,Italy,Brand 5,75.0,75.0,5.33,30
2342,Colombia,Brand 303,85.0,85.0,27.41,8
2343,Colombia,Brand 31,75.0,75.0,6.36,24
2344,Ireland,Brand 21,75.0,75.0,15.23,20
2345,Ireland,Brand 0,100.0,100.0,4.71,30
2346,Ireland,Brand 0,75.0,75.0,6.01,29
2347,Argentina,Brand 252,90.0,90.0,1.93,21
2348,Argentina,Brand 0,180.0,180.0,0.76,18
2349,China,Brand 494,120.0,120.0,1.17,28
2350,China,Brand 623,105.0,105.0,3.99,24
2351,Canada,Brand 5,170.0,170.0,2.99,38
2352,Spain,Brand 624,75.0,75.0,1.68,21
2353,Switzerland,Brand 1,75.0,75.0,7.79,27
2354,UK,Brand 9,50.0,50.0,25.56,21
2355,China,Brand 442,100.0,100.0,1.57,13
2356,UK,Brand 0,75.0,75.0,5.05,30
2357,Belgium,Brand 21,75.0,75.0,4.84,27
2358,UK,Brand 0,200.0,100.0,1.87,21
2359,Belgium,Brand 355,100.0,100.0,1.33,22
2360,Belgium,Brand 24,50.0,50.0,8.0,32
2361,China,Brand 188,140.0,140.0,0.91,24
2362,Switzerland,Brand 625,75.0,75.0,5.85,25
2363,China,Brand 400,105.0,105.0,1.28,26
2364,Saudi Arabia,Brand 196,100.0,100.0,1.6,35
2365,Thailand,Brand 0,110.0,110.0,5.04,26
2366,Brazil,Brand 110,50.0,50.0,2.78,13
2367,Brazil,Brand 21,121.9,121.9,3.65,8
2368,India,Brand 422,80.0,80.0,0.86,21
2369,South Africa,Brand 226,75.0,75.0,4.91,31
2370,Saudi Arabia,Brand 0,137.0,137.0,1.56,26
2371,Brazil,Brand 626,90.0,90.0,11.09,27
2372,South Africa,Brand 126,50.0,50.0,14.12,19
2373,China,Brand 541,90.0,90.0,1.04,20
2374,USA,Brand 119,391.2,65.2,2.45,29
2375,UK,Brand 404,100.0,100.0,0.8,20
2376,USA,Brand 21,130.41,130.41,1.53,41
2377,Australia,Brand 0,190.0,190.0,3.49,21
2378,USA,Brand 5,215.46,215.46,2.32,54
2379,China,Brand 201,60.0,60.0,1.42,16
2380,USA,Brand 0,147.42,147.42,2.71,33
2381,South Korea,Brand 627,120.0,120.0,7.38,8
2382,Turkey,Brand 5,125.0,125.0,4.89,34
2383,Canada,Brand 5,85.0,85.0,3.52,37
2384,Japan,Brand 143,130.0,130.0,2.75,46
2385,Thailand,Brand 330,130.0,130.0,1.74,31
2386,China,Brand 628,50.0,50.0,3.36,9
2387,China,Brand 209,120.0,120.0,0.73,22
2388,Thailand,Brand 629,40.0,40.0,5.65,31
2389,Finland,Brand 630,75.0,75.0,3.73,20
2390,Czech Republic,Brand 36,130.0,130.0,4.15,25
2391,Germany,Brand 631,75.0,75.0,6.21,27
2392,Colombia,Brand 0,90.0,90.0,3.5,23
2393,Vietnam,Brand 20,320.0,160.0,0.96,24
2394,Canada,Brand 0,165.0,165.0,2.66,28
2395,Vietnam,Brand 520,150.0,150.0,2.33,0
2396,Russia,Brand 5,100.0,100.0,2.89,30
2397,China,Brand 204,100.0,100.0,5.08,19
2398,China,Brand 632,100.0,100.0,2.95,0
2399,China,Brand 12,180.0,180.0,1.37,18
2400,China,Brand 613,135.0,135.0,4.47,23
2401,China,Brand 400,105.0,105.0,1.45,16
2402,Italy,Brand 156,125.0,125.0,0.79,37
2403,Germany,Brand 15,125.0,125.0,1.0,24
2404,Japan,Brand 244,90.0,90.0,8.14,37
2405,Saudi Arabia,Brand 1,75.0,75.0,3.92,26
2406,Saudi Arabia,Brand 21,50.0,50.0,8.88,4
2407,Greece,Brand 21,75.0,75.0,4.43,29
2408,Portugal,Brand 633,75.0,75.0,1.75,26
2409,USA,Brand 5,116.23,116.23,4.55,37
2410,Russia,Brand 634,70.0,70.0,17.5,30
2411,Germany,Brand 355,75.0,75.0,6.95,32
2412,Venezuela,Brand 1,130.0,130.0,2.25,21
2413,Austria,Brand 132,75.0,75.0,2.55,28
2414,Belgium,Brand 0,75.0,75.0,3.65,22
2415,USA,Brand 0,170.1,170.1,2.29,39
2416,Canada,Brand 360,142.0,142.0,4.97,31
2417,Belgium,Brand 24,75.0,75.0,4.2,34
2418,Greece,Brand 347,50.0,50.0,11.66,27
2419,Greece,Brand 499,50.0,50.0,18.18,29
2420,Canada,Brand 5,100.0,100.0,3.53,25
2421,Canada,Brand 635,40.0,40.0,22.65,14
2422,UK,Brand 547,75.0,75.0,2.13,20
2423,Hong Kong - China,Brand 636,130.0,130.0,1.68,31
2424,Australia,Brand 0,110.0,110.0,9.49,20
2425,Vietnam,Brand 1,35.0,35.0,0.71,23
2426,Indonesia,Brand 21,40.0,40.0,35.43,12
2427,Czech Republic,Brand 21,75.0,75.0,5.29,11
2428,Brazil,Brand 0,270.0,90.0,0.61,18
2429,Brazil,Brand 137,50.0,50.0,2.08,18
2430,Italy,Brand 8,75.0,75.0,1.73,35
2431,Thailand,Brand 3,50.0,50.0,3.42,21
2432,Thailand,Brand 21,158.7,158.7,8.05,37
2433,Taiwan - China,Brand 162,120.0,120.0,3.28,9
2434,Singapore,Brand 296,100.0,100.0,4.84,22
2435,Spain,Brand 637,100.0,100.0,11.12,25
2436,Russia,Brand 122,75.0,75.0,2.93,51
2437,Spain,Brand 21,75.0,75.0,4.04,28
2438,Russia,Brand 21,75.0,75.0,5.85,23
2439,Thailand,Brand 5,116.0,116.0,6.07,40
2440,Norway,Brand 0,75.0,75.0,6.47,31
2441,South Korea,Brand 638,90.0,90.0,2.77,2
2442,Thailand,Brand 5,130.0,130.0,4.66,38
2443,Thailand,Brand 9,170.0,170.0,3.25,33
2444,Colombia,Brand 0,125.0,125.0,4.55,40
2445,Colombia,Brand 31,75.0,75.0,10.71,25
2446,India,Brand 0,80.0,80.0,1.96,26
2447,South Korea,Brand 131,130.0,130.0,5.29,6
2448,Brazil,Brand 21,100.0,100.0,5.31,26
2449,USA,Brand 639,100.55,100.55,9.45,35
2450,Brazil,Brand 0,70.0,70.0,3.29,25
2451,China,Brand 442,120.0,120.0,0.91,0
2452,China,Brand 640,135.0,135.0,4.74,26
2453,UK,Brand 0,150.0,150.0,3.21,21
2454,Vietnam,Brand 93,50.0,50.0,3.72,22
2455,Belgium,Brand 0,75.0,75.0,5.0,30
2456,India,Brand 0,150.0,150.0,0.81,20
2457,India,Brand 93,125.0,125.0,1.44,22
2458,China,Brand 641,100.0,100.0,1.52,26
2459,India,Brand 0,150.0,150.0,1.07,26
2460,China,Brand 642,100.0,100.0,5.6,9
2461,China,Brand 643,105.0,105.0,2.58,18
2462,Vietnam,Brand 0,40.0,40.0,3.83,30
2463,Vietnam,Brand 0,160.0,160.0,1.16,28
2464,Greece,Brand 21,75.0,75.0,5.21,27
2465,Argentina,Brand 0,90.0,90.0,4.21,39
2466,China,Brand 2,100.0,100.0,7.85,22
2467,Ireland,Brand 231,100.0,100.0,3.84,21
2468,Canada,Brand 21,135.0,135.0,3.69,27
2469,China,Brand 201,160.0,160.0,1.76,20
2470,Thailand,Brand 9,170.0,170.0,1.14,39
2471,Canada,Brand 211,60.0,60.0,10.95,12
2472,Germany,Brand 5,75.0,75.0,2.6,30
2473,Germany,Brand 5,75.0,75.0,2.6,26
2474,USA,Brand 526,181.44,181.44,0.55,39
2475,New Zealand,Brand 316,120.0,120.0,1.54,18
2476,India,Brand 93,50.0,50.0,3.22,22
2477,India,Brand 644,100.0,100.0,0.93,7
2478,India,Brand 0,70.0,70.0,0.27,16
2479,UK,Brand 134,75.0,75.0,2.13,20
2480,India,Brand 68,300.0,150.0,0.53,23
2481,Germany,Brand 0,75.0,75.0,4.32,26
2482,China,Brand 164,50.0,50.0,1.1,21
2483,Germany,Brand 132,75.0,75.0,2.17,24
2484,France,Brand 255,75.0,75.0,5.15,36
2485,Poland,Brand 7,75.0,75.0,7.76,23
2486,Poland,Brand 21,50.0,50.0,3.42,19
2487,Taiwan - China,Brand 21,120.0,120.0,5.3,34
2488,Germany,Brand 15,100.0,100.0,1.03,26
2489,UK,Brand 21,100.0,100.0,4.08,27
2490,Colombia,Brand 5,75.0,75.0,9.43,26
2491,Belgium,Brand 1,75.0,75.0,6.01,27
2492,New Zealand,Brand 0,130.0,130.0,4.52,24
2493,China,Brand 541,50.0,50.0,4.64,23
2494,China,Brand 231,130.0,130.0,0.95,24
2495,China,Brand 645,120.0,120.0,5.52,25
2496,Canada,Brand 0,85.0,85.0,2.68,34
2497,Turkey,Brand 646,50.0,50.0,1.68,32
2498,Belgium,Brand 24,75.0,75.0,4.29,28
2499,Ireland,Brand 21,50.0,50.0,7.72,27
2500,Netherlands,Brand 1,75.0,75.0,5.15,24
2501,South Korea,Brand 549,780.0,130.0,0.78,9
2502,South Korea,Brand 647,120.0,120.0,5.05,19
2503,USA,Brand 306,127.56,42.52,7.83,21
2504,Denmark,Brand 648,100.0,100.0,13.63,23
2505,Greece,Brand 649,75.0,75.0,10.52,35
2506,India,Brand 69,75.0,75.0,6.19,22
2507,Finland,Brand 1,75.0,75.0,5.73,25
2508,Finland,Brand 650,75.0,75.0,2.04,29
2509,Argentina,Brand 5,70.0,70.0,3.93,39
2510,India,Brand 67,100.0,100.0,1.24,3
2511,India,Brand 67,100.0,100.0,1.28,8
2512,India,Brand 0,300.0,300.0,0.61,16
2513,China,Brand 441,45.0,45.0,7.71,21
2514,Switzerland,Brand 7,75.0,75.0,9.83,23
2515,Russia,Brand 258,135.0,135.0,7.06,16
2516,Argentina,Brand 0,300.0,100.0,1.31,45
2517,Russia,Brand 651,75.0,75.0,5.35,39
2518,Austria,Brand 652,75.0,75.0,4.23,23
2519,Germany,Brand 21,75.0,75.0,4.91,25
2520,Austria,Brand 0,75.0,75.0,4.29,23
2521,China,Brand 653,90.0,90.0,0.86,23
2522,Vietnam,Brand 93,75.0,75.0,2.48,22
2523,UK,Brand 21,100.0,100.0,1.59,24
2524,Hong Kong - China,Brand 0,75.0,75.0,6.91,9
2525,Australia,Brand 21,63.0,63.0,3.14,22
2526,Thailand,Brand 576,113.0,113.0,7.99,43
2527,Mexico,Brand 271,75.0,75.0,2.49,20
2528,Mexico,Brand 0,100.0,100.0,1.87,28
2529,Mexico,Brand 31,75.0,75.0,3.43,24
2530,Poland,Brand 5,125.0,125.0,1.94,32
2531,South Korea,Brand 654,120.0,120.0,7.07,22
2532,Germany,Brand 7,75.0,75.0,8.52,30
2533,Canada,Brand 0,130.0,130.0,2.28,36
2534,Canada,Brand 0,125.0,125.0,1.87,36
2535,South Africa,Brand 21,100.0,100.0,1.45,31
2536,South Africa,Brand 46,100.0,100.0,1.1,28
2537,South Africa,Brand 0,100.0,100.0,1.08,37
2538,South Africa,Brand 21,75.0,75.0,2.45,17
2539,South Africa,Brand 21,100.0,100.0,1.29,25
2540,South Africa,Brand 0,75.0,75.0,1.8,21
2541,South Africa,Brand 0,75.0,75.0,1.8,30
2542,South Africa,Brand 0,100.0,100.0,1.08,29
2543,South Africa,Brand 21,100.0,100.0,0.91,22
2544,South Africa,Brand 21,100.0,100.0,0.73,17
2545,South Africa,Brand 1,100.0,100.0,0.85,21
2546,South Africa,Brand 134,28.0,28.0,10.96,30
2547,South Africa,Brand 221,150.0,150.0,3.03,20
2548,Venezuela,Brand 0,75.0,75.0,3.36,17
2549,Thailand,Brand 6,160.0,160.0,1.01,24
2550,USA,Brand 0,49.61,49.61,5.99,17
2551,Czech Republic,Brand 9,115.0,115.0,3.57,23
2552,New Zealand,Brand 0,103.0,103.0,5.28,29
2553,New Zealand,Brand 0,190.0,190.0,3.07,21
2554,China,Brand 655,100.0,100.0,1.25,21
2555,Czech Republic,Brand 7,75.0,75.0,11.45,23
2556,USA,Brand 5,164.43,164.43,1.82,41
2557,Thailand,Brand 656,15.0,15.0,2.33,3
2558,Thailand,Brand 657,40.0,40.0,0.73,15
2559,Thailand,Brand 0,540.0,180.0,0.59,15
2560,Mexico,Brand 271,25.0,25.0,6.44,22
2561,USA,Brand 506,170.1,170.1,1.99,21
2562,USA,Brand 506,170.1,170.1,2.05,25
2563,Italy,Brand 658,75.0,75.0,1.69,26
2564,Greece,Brand 0,75.0,75.0,3.71,37
2565,USA,Brand 21,127.58,127.58,4.7,39
2566,Germany,Brand 64,75.0,75.0,3.88,25
2567,Germany,Brand 659,125.0,125.0,0.4,28
2568,Germany,Brand 132,125.0,125.0,0.57,21
2569,Vietnam,Brand 12,160.0,160.0,0.93,24
2570,Thailand,Brand 660,270.0,90.0,3.04,34
2571,Russia,Brand 28,50.0,50.0,28.7,26
2572,China,Brand 317,100.0,100.0,6.49,17
2573,New Zealand,Brand 9,80.0,80.0,11.66,27
2574,India,Brand 21,160.0,160.0,1.96,18
2575,Australia,Brand 0,190.0,190.0,3.7,24
2576,UK,Brand 0,75.0,75.0,4.84,25
2577,Argentina,Brand 661,180.0,180.0,0.9,21
2578,Argentina,Brand 0,75.0,75.0,3.43,25
2579,Poland,Brand 24,75.0,75.0,2.17,32
2580,Australia,Brand 0,103.0,103.0,4.99,29
2581,Australia,Brand 0,190.0,190.0,3.78,25
2582,South Korea,Brand 662,100.0,100.0,9.6,2
2583,Germany,Brand 1,75.0,75.0,1.12,19
2584,Brazil,Brand 0,90.0,90.0,1.44,26
2585,Brazil,Brand 0,90.0,90.0,0.9,19
2586,Spain,Brand 55,150.0,150.0,6.43,23
2587,Australia,Brand 0,190.0,190.0,3.75,21
2588,Spain,Brand 394,75.0,75.0,3.43,24
2589,Switzerland,Brand 0,75.0,75.0,5.69,24
2590,Germany,Brand 24,100.0,100.0,1.61,28
2591,China,Brand 534,170.0,170.0,1.19,26
2592,Australia,Brand 663,150.0,150.0,0.94,15
2593,Venezuela,Brand 0,125.0,125.0,4.43,29
2594,Taiwan - China,Brand 441,100.0,100.0,7.18,13
2595,Taiwan - China,Brand 365,570.0,190.0,0.95,9
2596,Argentina,Brand 5,70.0,70.0,7.46,39
2597,South Korea,Brand 2,130.0,130.0,4.05,3
2598,Spain,Brand 333,150.0,150.0,5.22,23
2599,Vietnam,Brand 1,250.0,250.0,0.35,19
2600,India,Brand 0,100.0,100.0,0.46,6
2601,USA,Brand 506,119.07,119.07,5.03,48
2602,USA,Brand 21,158.76,158.76,2.58,33
2603,USA,Brand 664,141.75,141.75,6.34,27
2604,Thailand,Brand 21,320.0,160.0,2.07,34
2605,Vietnam,Brand 12,160.0,160.0,0.93,22
2606,Vietnam,Brand 296,100.0,100.0,1.68,25
2607,Thailand,Brand 20,320.0,160.0,0.98,29
2608,Thailand,Brand 21,300.0,150.0,2.2,24
2609,Thailand,Brand 20,320.0,160.0,0.66,24
2610,South Korea,Brand 131,130.0,130.0,2.54,2
2611,Australia,Brand 663,45.0,45.0,1.56,20
2612,Egypt,Brand 665,75.0,75.0,6.4,22
2613,Taiwan - China,Brand 162,120.0,120.0,3.39,6
2614,Vietnam,Brand 602,125.0,125.0,1.45,29
2615,Singapore,Brand 0,110.0,110.0,5.03,25
2616,Germany,Brand 666,75.0,75.0,2.56,17
2617,New Zealand,Brand 21,110.0,110.0,5.11,20
2618,Thailand,Brand 279,360.0,180.0,0.56,20
2619,Thailand,Brand 20,160.0,160.0,0.64,22
2620,Greece,Brand 245,50.0,50.0,6.36,32
2621,Greece,Brand 667,50.0,50.0,14.54,17
2622,Greece,Brand 24,75.0,75.0,4.07,34
2623,Vietnam,Brand 407,125.0,125.0,1.49,2
2624,Czech Republic,Brand 0,75.0,75.0,4.79,19
2625,Spain,Brand 27,50.0,50.0,10.32,23
2626,South Korea,Brand 2,200.0,50.0,3.07,5
2627,South Korea,Brand 668,50.0,50.0,26.28,4
2628,Greece,Brand 669,100.0,100.0,8.74,25
2629,China,Brand 400,220.0,220.0,0.79,22
2630,Philippines,Brand 21,90.0,90.0,3.26,20
2631,Israel,Brand 0,100.0,100.0,5.45,32
2632,China,Brand 670,50.0,50.0,5.2,21
2633,Belgium,Brand 671,75.0,75.0,4.75,13
2634,Italy,Brand 0,75.0,75.0,3.55,27
2635,China,Brand 231,100.0,100.0,3.04,25
2636,Taiwan - China,Brand 0,110.0,110.0,5.88,31
2637,Russia,Brand 617,12.0,12.0,47.25,24
2638,Russia,Brand 52,75.0,75.0,10.45,27
2639,China,Brand 672,180.0,180.0,2.03,24
2640,China,Brand 5,140.0,140.0,4.01,27
2641,China,Brand 146,140.0,140.0,0.74,33
2642,China,Brand 5,140.0,140.0,4.31,29
2643,South Korea,Brand 131,360.0,120.0,1.92,6
2644,UK,Brand 0,75.0,75.0,2.12,21
2645,Belgium,Brand 243,100.0,100.0,1.27,28
2646,Egypt,Brand 5,164.0,164.0,1.53,34
2647,China,Brand 604,150.0,150.0,1.01,16
2648,China,Brand 310,110.0,110.0,0.99,29
2649,Thailand,Brand 242,160.0,160.0,2.68,30
2650,Thailand,Brand 0,110.0,110.0,2.39,25
2651,Vietnam,Brand 0,150.0,150.0,1.86,23
2652,Germany,Brand 21,75.0,75.0,3.0,26
2653,Austria,Brand 234,75.0,75.0,5.09,16
2654,South Africa,Brand 673,70.0,70.0,1.03,4
2655,Ireland,Brand 0,75.0,75.0,4.43,26
2656,Italy,Brand 21,75.0,75.0,4.09,34
2657,Taiwan - China,Brand 10,120.0,40.0,1.67,6
2658,Switzerland,Brand 21,75.0,75.0,8.36,25
2659,UK,Brand 0,75.0,75.0,5.92,29
2660,UK,Brand 21,75.0,75.0,5.72,20
2661,Czech Republic,Brand 5,100.0,100.0,2.23,22
2662,New Zealand,Brand 21,63.0,63.0,2.54,22
2663,New Zealand,Brand 21,63.0,63.0,2.54,22
2664,Indonesia,Brand 674,250.0,250.0,0.78,33
2665,Argentina,Brand 252,90.0,90.0,1.2,20
2666,Netherlands,Brand 675,110.0,110.0,5.51,22
2667,Czech Republic,Brand 676,75.0,75.0,6.55,36
2668,Colombia,Brand 9,121.0,121.0,6.98,34
2669,USA,Brand 522,198.45,198.45,6.04,30
2670,South Korea,Brand 131,130.0,130.0,5.75,7
2671,Brazil,Brand 21,90.0,90.0,5.87,22
2672,Germany,Brand 24,50.0,50.0,7.56,29
2673,Brazil,Brand 21,100.0,100.0,5.28,30
2674,China,Brand 677,30.0,30.0,7.7,5
2675,Poland,Brand 21,75.0,75.0,2.83,29
2676,USA,Brand 0,130.41,130.41,2.29,37
2677,Canada,Brand 338,113.5,113.5,7.01,35
2678,Taiwan - China,Brand 195,160.0,160.0,1.26,4
2679,Spain,Brand 0,75.0,75.0,4.75,28
2680,Poland,Brand 21,50.0,50.0,5.16,20
2681,Denmark,Brand 134,28.0,28.0,9.86,0
2682,Egypt,Brand 223,50.0,50.0,1.3,17
2683,Finland,Brand 7,50.0,50.0,21.52,23
2684,Finland,Brand 648,100.0,100.0,10.25,24
2685,Egypt,Brand 1,100.0,100.0,1.33,35
2686,Canada,Brand 617,12.0,12.0,41.08,26
2687,Vietnam,Brand 678,110.0,110.0,1.06,18
2688,Hong Kong - China,Brand 0,110.0,110.0,3.15,37
2689,UK,Brand 0,75.0,75.0,5.92,23
2690,India,Brand 68,80.0,80.0,1.81,22
2691,India,Brand 68,80.0,80.0,1.28,22
2692,Belgium,Brand 24,50.0,50.0,7.54,26
2693,Philippines,Brand 471,100.0,100.0,3.06,22
2694,Australia,Brand 21,170.0,170.0,2.69,22
2695,China,Brand 672,170.0,170.0,0.93,20
2696,China,Brand 231,130.0,130.0,0.62,21
2697,Switzerland,Brand 76,75.0,75.0,4.63,26
2698,USA,Brand 679,1275.72,212.62,0.78,33
2699,Mexico,Brand 0,125.0,125.0,1.14,22
2700,Mexico,Brand 0,125.0,125.0,2.67,37
2701,India,Brand 0,100.0,100.0,0.68,21
2702,Brazil,Brand 377,100.0,100.0,3.03,27
2703,Brazil,Brand 109,90.0,90.0,0.78,13
2704,Thailand,Brand 126,50.0,50.0,17.84,19
2705,China,Brand 680,110.0,110.0,2.34,17
2706,China,Brand 613,100.0,100.0,1.59,26
2707,Switzerland,Brand 9,50.0,50.0,10.42,28
2708,Greece,Brand 681,75.0,75.0,8.92,31
2709,Germany,Brand 7,50.0,50.0,4.26,16
2710,Germany,Brand 21,501.0,501.0,0.32,21
2711,Germany,Brand 610,75.0,75.0,1.09,20
2712,China,Brand 79,100.0,100.0,2.21,22
2713,China,Brand 503,50.0,50.0,1.6,16
2714,China,Brand 295,160.0,160.0,0.96,22
2715,China,Brand 381,150.0,150.0,2.23,30
2716,Japan,Brand 143,140.0,140.0,1.64,36
2717,Brazil,Brand 5,140.0,140.0,2.51,28
2718,Colombia,Brand 93,75.0,75.0,6.15,22
2719,Germany,Brand 24,100.0,100.0,1.63,34
2720,Thailand,Brand 5,120.0,120.0,9.02,25
2721,Thailand,Brand 682,50.0,50.0,14.74,10
2722,UK,Brand 231,75.0,75.0,2.12,20
2723,UK,Brand 231,100.0,100.0,1.59,25
2724,Canada,Brand 5,85.0,85.0,2.33,32
2725,Australia,Brand 21,100.0,100.0,8.35,12
2726,UK,Brand 231,100.0,100.0,0.87,18
2727,Philippines,Brand 0,75.0,75.0,4.73,28
2728,Spain,Brand 683,75.0,75.0,10.25,30
2729,Finland,Brand 31,75.0,75.0,11.39,32
2730,Greece,Brand 9,50.0,50.0,12.26,21
2731,Greece,Brand 684,75.0,75.0,5.33,19
2732,Italy,Brand 21,75.0,75.0,2.81,25
2733,Italy,Brand 130,75.0,75.0,2.32,24
2734,Switzerland,Brand 5,75.0,75.0,5.48,30
2735,Portugal,Brand 525,50.0,50.0,1.98,22
2736,China,Brand 302,130.0,130.0,1.18,24
2737,China,Brand 685,50.0,50.0,4.4,21
2738,India,Brand 66,200.0,200.0,0.62,16
2739,Australia,Brand 0,45.0,45.0,3.47,28
2740,UK,Brand 21,75.0,75.0,6.0,12
2741,Philippines,Brand 21,27.0,27.0,6.0,11
2742,Mexico,Brand 93,50.0,50.0,6.84,22
2743,USA,Brand 686,164.43,164.43,1.51,36
2744,USA,Brand 686,119.07,119.07,1.66,33
2745,Vietnam,Brand 21,158.7,158.7,2.64,33
2746,Malaysia,Brand 437,100.0,100.0,12.85,27
2747,Malaysia,Brand 0,100.0,100.0,12.85,6
2748,Malaysia,Brand 276,75.0,75.0,17.13,19
2749,Malaysia,Brand 687,100.0,100.0,13.82,6
2750,Vietnam,Brand 0,120.0,120.0,1.33,20
2751,Vietnam,Brand 21,50.0,50.0,2.04,21
2752,Vietnam,Brand 1,200.0,200.0,0.52,23
2753,Belgium,Brand 5,75.0,75.0,7.4,30
2754,Hong Kong - China,Brand 688,30.0,30.0,43.5,29
2755,UK,Brand 0,50.0,50.0,4.2,25
2756,France,Brand 0,75.0,75.0,5.68,30
2757,Mexico,Brand 5,75.0,75.0,5.57,36
2758,South Korea,Brand 689,75.0,75.0,4.16,3
2759,Canada,Brand 5,125.0,125.0,2.41,34
2760,Canada,Brand 5,130.0,130.0,1.77,38
2761,Canada,Brand 5,125.0,125.0,2.08,34
2762,Hungary,Brand 690,125.0,125.0,1.22,24
2763,Hungary,Brand 24,75.0,75.0,2.0,44
2764,Germany,Brand 24,75.0,75.0,2.29,33
2765,Hungary,Brand 21,75.0,75.0,5.43,22
2766,Vietnam,Brand 21,50.0,50.0,2.04,21
2767,Germany,Brand 0,75.0,75.0,4.04,24
2768,South Africa,Brand 21,75.0,75.0,4.87,11
2769,China,Brand 1,155.0,155.0,0.72,25
2770,India,Brand 68,300.0,300.0,0.67,25
2771,France,Brand 1,75.0,75.0,6.24,27
2772,France,Brand 0,75.0,75.0,4.15,29
2773,France,Brand 21,75.0,75.0,2.6,21
2774,France,Brand 24,75.0,75.0,3.61,38
2775,France,Brand 21,75.0,75.0,3.72,28
2776,Israel,Brand 21,75.0,75.0,5.0,29
2777,Israel,Brand 196,100.0,100.0,6.01,41
2778,Turkey,Brand 691,30.0,30.0,4.67,22
2779,China,Brand 692,105.0,105.0,1.65,20
2780,France,Brand 24,50.0,50.0,8.4,29
2781,Austria,Brand 0,75.0,75.0,2.73,19
2782,Austria,Brand 24,50.0,50.0,7.34,27
2783,Portugal,Brand 463,100.0,100.0,1.17,32
2784,Austria,Brand 0,75.0,75.0,4.89,24
2785,USA,Brand 0,113.4,113.4,4.84,38
2786,Germany,Brand 156,100.0,100.0,0.86,24
2787,Australia,Brand 0,190.0,190.0,3.9,21
2788,France,Brand 24,75.0,75.0,3.49,31
2789,France,Brand 24,75.0,75.0,3.92,33
2790,France,Brand 24,75.0,75.0,3.65,34
2791,France,Brand 24,75.0,75.0,3.45,32
2792,Vietnam,Brand 693,75.0,75.0,2.45,21
2793,India,Brand 68,80.0,80.0,2.74,28
2794,Italy,Brand 694,100.0,100.0,9.44,28
2795,Greece,Brand 1,75.0,75.0,5.11,27
2796,Brazil,Brand 254,50.0,50.0,16.18,19
2797,Italy,Brand 24,300.0,75.0,2.44,35
2798,UK,Brand 5,75.0,75.0,7.4,26
2799,France,Brand 408,7.5,0.75,54.67,16
2800,France,Brand 0,50.0,50.0,3.46,25
2801,Canada,Brand 5,78.0,78.0,3.62,40
2802,Vietnam,Brand 21,50.0,50.0,1.96,22
2803,Vietnam,Brand 1,220.0,220.0,0.61,22
2804,Vietnam,Brand 695,50.0,50.0,6.38,17
2805,USA,Brand 398,113.4,113.4,5.02,16
2806,Spain,Brand 226,75.0,75.0,2.81,25
2807,USA,Brand 151,170.1,170.1,3.52,33
2808,Denmark,Brand 24,75.0,75.0,4.01,32
2809,Italy,Brand 0,75.0,75.0,2.84,28
2810,Japan,Brand 20,40.0,40.0,4.83,20
2811,Thailand,Brand 195,160.0,160.0,1.14,22
2812,China,Brand 79,120.0,120.0,1.31,30
